,questions,answers
67, What are the elements typically included in a class definition?, Function members and data members.
68, What are the access-specifiers that can be used in a C plus plus class definition?, Private and public.
69, How are objects initialized when they are created?, By using constructors.
70, What is a function signature?," The name of the function and the list of parameters, including their types."
71, What is a recursive function?, A function that calls itself.
72, What is the alternative way to solve a problem that could be solved through recursive functions?, Through iteration.
73, What is the difference between an array that is declared as static and one that is not?, The static arrays are intialized only once when the function is called.
74, What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char []?, The char [] will automatically add a null 0 character at the end of the string.
75, Briefly describe the divide-and-conquer paradigm.," Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem."
76, Briefly describe in one sentence how does merge sort work?," It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays."
77, What is a pointer?, The address of a location in memory.
78, What is the experimental approach for measuring the running time of an algorithm?, Implement the algorithm and measure the physical running time.
79, Order the following functions by their running time: n to the power of 2; log -LRB- log n -RRB- ; 2 to the power of -LRB- log n -RRB- ; n!; n to the power of 3., log -LRB- log n -RRB- ; 2 to the power of -LRB- log n -RRB- ; n to the power of 2; n to the power of 3; n!
80," Briefly, how does selection sort work?"," It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth."
81, What is the advantage of linked lists over arrays?," Linked lists are dynamic structures, which allow for a variable number of elements to be stored."
82, What is a queue?, A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.
83, What are the main operations associated with a stack?, push and pop
84, What is the Euler tour traversal of a tree?," A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right."
85, How do you delete a node from a binary search tree?," Find the node, then replace it with the leftmost node from its right subtree -LRB- or the rightmost node from its left subtree -RRB- ."
86, How many steps does it take to search a node in a binary search tree?, The height of the tree.
